,Date,Floor,Line,Buyer ,Sales Order No,Style No,Item,Start Date,Wr- Hr,Wr- Hr.,Plan Man Power. OP,Plan Man Power. HP,Actual Man Power OP,Actual Man Power HP,Target Hour.
0,2021-01-02,Unit: 01(Mr.Liton),L-01,Hema,4170004855,334167,LS T-Shirt,2020-12-22 00:00:00,8,10.61904761904762,30,2,18,3,15.694828469022015
1,2021-01-02,Unit: 01(Mr.Liton),L-02,H&M,4170005177,118182-5832(S-03),3-Pack V-Neck Slim Fit,2020-10-29 00:00:00,8,9.705,22,2,19,2,4.709156223893066
2,2021-01-02,Unit: 01(Mr.Liton),L-02,H&M,4170005210,179603-5832(S-03),V-Neck Slim Fit 3-Pack,2020-10-29 00:00:00,8,3.045,22,2,19,2,0.0
3,2021-01-02,Unit: 01(Mr.Liton),L-03,Hema,4170004915,342997 Richardson,SS Polo,2020-12-29 00:00:00,8,12.453125,22,2,29,3,17.545857843137256
4,2021-01-02,Unit: 01(Mr.Liton),L-04,Vertbaudet,4170004657,70211-0308,LS Sweat,2021-01-02 00:00:00,8,8.818181818181818,22,4,19,3,16.97727272727273
5,2021-01-02,Unit: 01(Mr.Liton),L-05,Hema,4170004498,342775 Jones,SS Polo,2020-12-30 00:00:00,8,10.186046511627907,18,2,38,5,19.33388972243061
6,2021-01-02,Unit: 01(Mr.Liton),L-06,A.Tion Fashion,4170005050,PKB1TS1110A,LS T-Shirt,2020-12-20 00:00:00,8,2.995,22,2,18,3,7.792261904761903
7,2021-01-02,Unit: 01(Mr.Liton),L-06,A.Tion Fashion,4170005076,EPB2TR1151A,SS T-Shirt,2021-01-02 00:00:00,8,6.135952380952381,22,2,18,3,0.0
8,2021-01-02,Unit: 01(Mr.Liton),L-07,H&M,4170005190,154623-5832(S-03),Peter Polo,2020-11-22 00:00:00,8,4.52,24,4,36,4,19.655461538461537
9,2021-01-02,Unit: 01(Mr.Liton),L-07,H&M,4170005163,241574-5832(S-03),Peter Polo,2020-11-22 00:00:00,8,2.102,24,4,36,4,0.0
10,2021-01-02,Unit: 01(Mr.Liton),L-07,H&M,4170005198,249206-5832(S-03),Peter Polo,2020-11-22 00:00:00,8,4.0280000000000005,24,4,36,4,0.0
11,2021-01-02,Unit: 01(Mr.Liton),L-08,Vertbaudet,4170005042,70026-1050,SLT,2020-12-28 00:00:00,8,11.0,17,2,15,2,4.839248366013072
12,2021-01-02,Unit: 01(Mr.Liton),L-10,H&M,4170005177,118182-5832(S-03),3-Pack V-Neck Slim Fit,2020-11-28 00:00:00,8,5.188,22,2,19,2,4.244344193817878
13,2021-01-02,Unit: 01(Mr.Liton),L-10,H&M,4170005210,179603-5832(S-03),V-Neck Slim Fit 3-Pack,2020-11-28 00:00:00,8,7.562,22,2,19,2,0.0
14,2021-01-02,Unit: 02 (Mr. Zakir),L-11,A.Tion Fashion,4170005095,EPB5TS1902A,SS T-Shirt,2020-12-31 00:00:00,8,10.625,22,2,22,2,5.549908424908425
15,2021-01-02,Unit: 02 (Mr. Zakir),L-12,Vertbaudet,4170005068,70209-0423,Pant,2021-01-02 00:00:00,8,10.020833333333334,22,4,22,2,6.102430555555555
16,2021-01-02,Unit: 02 (Mr. Zakir),L-13,Vertbaudet,4170004643,70214-0326,T-Shirt,2020-12-22 00:00:00,8,8.166666666666666,25,3,35,4,5.546191553544494
17,2021-01-02,Unit: 02 (Mr. Zakir),L-14,H&M,4170005196,247369-5828(S-03),Mushroom Polo,2020-12-20 00:00:00,8,7.737,20,2,31,3,4.786151960784313
18,2021-01-02,Unit: 02 (Mr. Zakir),L-14,H&M,4170005124,235667-8030(S-03),RC Mushroom Polo,2020-12-20 00:00:00,8,4.924764705882353,20,2,31,3,0.0
19,2021-01-02,Unit: 02 (Mr. Zakir),L-16,Hema,4170004913,342975 TOM,SS T-Shirt,2020-12-31 00:00:00,8,9.923076923076923,24,3,23,3,9.652981277981278
20,2021-01-02,Unit: 02 (Mr. Zakir),L-17,Hema,4170005082,307410 Table Tee,SS T-Shirt,2020-12-07 00:00:00,8,12.634615384615383,20,2,23,3,11.001561472715318
21,2021-01-02,Unit: 02 (Mr. Zakir),L-18,H&M,4170005196,247369-5828(S-03),Mushroom Polo,2020-12-12 00:00:00,8,9.184,29,2,33,3,6.312951671183379
22,2021-01-02,Unit: 02 (Mr. Zakir),L-18,H&M,4170005123,235668-8030(S-03),RC Mushroom Polo,2020-12-12 00:00:00,8,2.95488888888889,29,2,33,3,0.0
23,2021-01-02,Unit: 02 (Mr. Zakir),L-20,Hema,4170005082,307410 Table Tee,SS T-Shirt,2020-12-21 00:00:00,8,12.442307692307692,22,2,23,3,16.686061801446414
24,2021-01-02,Unit: 03(Mr. Sajadur Rahman),L-21,Hema,4170004961,331086 Polo Fluo,SS Polo,2020-12-10 00:00:00,8,3.576,28,2,29,4,23.2399898989899
25,2021-01-02,Unit: 03(Mr. Sajadur Rahman),L-21,Hema,4170004898,307361 Trevor Slub,SS Polo,2021-01-02 00:00:00,8,4.181575757575757,28,2,29,4,0.0
26,2021-01-02,Unit: 03(Mr. Sajadur Rahman),L-22,Hema,4170004579,333269,LS SB,2020-10-15 00:00:00,8,10.065217391304348,38,3,44,2,9.604511894995898
27,2021-01-02,Unit: 03(Mr. Sajadur Rahman),L-24,H&M,4170005206,179172-5832(S-03),Ronny R-Neck 3 Pack,2020-12-21 00:00:00,8,11.0,25,0,25,1,3.893435897435898
28,2021-01-02,Unit: 03(Mr. Sajadur Rahman),L-25,H&M,4170005206,179172-5832(S-03),Ronny R-Neck 3 Pack,2020-12-31 00:00:00,8,2.973,24,2,23,2,4.046251851851852
29,2021-01-02,Unit: 03(Mr. Sajadur Rahman),L-25,H&M,4170005213,251088-5832(S-03),Ronny R-Neck,2020-12-31 00:00:00,8,5.267,24,2,23,2,0.0
30,2021-01-02,Unit: 03(Mr. Sajadur Rahman),L-26,H&M,4170005213,251088-5832(S-03),Ronny R-Neck,2020-12-30 00:00:00,8,2.31,12,1,13,0,5.365413105413105
31,2021-01-02,Unit: 03(Mr. Sajadur Rahman),L-26,H&M,4170005206,179172-5832(S-03),Ronny R-Neck 3 Pack,2020-12-30 00:00:00,8,8.69,12,1,13,0,0.0
